   0,8417   0,6323   0,8732   0,8903   0,7515   0,6094   0,8879   0,8553   0,6277   0,6779   0,6911   0,8156   0,8510   0,7554   0,7686   0,6635   0,8515   0,6404   0,7873   0,6483   0,6578   0,6903   0,7468   0,6517   0,8267   0,7696   0,6712   0,6647   0,6820   0,8304
   0,7069   0,8153   0,8226   0,8121   0,6787   0,8637   0,6794   0,7336   0,6797   0,6603   0,7004   0,6980   0,7265   0,7473   0,7308   0,7294   0,8019   0,8818   0,6253   0,7301   0,7338   0,6658   0,8852   0,7660   0,7167   0,8788   0,7505   0,7711   0,6781   0,6404
   0,8039   0,8056   0,6198   0,6563   0,7482   0,6993   0,7264   0,7514   0,6147   0,8769   0,8310   0,7409   0,7336   0,8776   0,7601   0,6564   0,6618   0,7648   0,7443   0,7116   0,7062   0,8547   0,7833   0,6772   0,6130   0,8975   0,7869   0,6206   0,8065   0,8950
   0,7834   0,6683   0,8592   0,6614   0,8911   0,6569   0,8606   0,8057   0,7839   0,7565   0,8159   0,6520   0,7578   0,7781   0,7607   0,8073   0,7075   0,6148   0,8133   0,7429   0,6671   0,6108   0,6049   0,8657   0,6412   0,6097   0,8361   0,6315   0,7641   0,8979
   0,7948   0,6836   0,6689   0,7347   0,8462   0,8916   0,7247   0,6413   0,8623   0,8172   0,7156   0,8198   0,6016   0,8424   0,8809   0,6685   0,6761   0,6675   0,6173   0,7800   0,8551   0,7152   0,8601   0,7226   0,8483   0,8625   0,7111   0,6415   0,6942   0,6759
   0,8659   0,6533   0,7410   0,8269   0,6097   0,7593   0,8577   0,7349   0,6080   0,7587   0,6458   0,7099   0,8041   0,6152   0,7394   0,8525   0,8568   0,6046   0,6831   0,7138   0,7108   0,6594   0,8643   0,6220   0,6802   0,8236   0,7453   0,8457   0,6540   0,6349
   0,7982   0,6879   0,8891   0,7680   0,7816   0,8854   0,6520   0,7973   0,8258   0,6318   0,8990   0,8691   0,7974   0,7411   0,6470   0,8205   0,8089   0,7330   0,8834   0,6296   0,6166   0,8357   0,8972   0,8501   0,8081   0,6866   0,7766   0,6481   0,7295   0,7458
   0,7217   0,8444   0,6312   0,7366   0,6529   0,6545   0,8245   0,6868   0,7658   0,7159   0,6420   0,8559   0,7880   0,6055   0,7766   0,6154   0,8277   0,8627   0,8406   0,8811   0,6807   0,8673   0,8412   0,7920   0,6641   0,6527   0,7007   0,6847   0,8901   0,8862
   0,8751   0,8264   0,7660   0,9000   0,8247   0,7412   0,8171   0,6242   0,8843   0,8983   0,7725   0,8467   0,6517   0,8206   0,6348   0,7091   0,7705   0,8251   0,7624   0,6391   0,6297   0,6159   0,6467   0,6271   0,8242   0,8202   0,8422   0,8610   0,8362   0,7878
   0,7275   0,6582   0,6890   0,6628   0,8226   0,6649   0,7093   0,8832   0,7755   0,7297   0,8931   0,6737   0,6474   0,6120   0,7240   0,8604   0,7806   0,8410   0,6226   0,7666   0,8208   0,8123   0,6240   0,7284   0,6880   0,8844   0,7836   0,8209   0,6459   0,6264
   0,8952   0,6827   0,6113   0,7629   0,7775   0,8952   0,8696   0,8689   0,7413   0,8947   0,8241   0,8824   0,8854   0,7756   0,8974   0,8268   0,8969   0,7879   0,7351   0,7687   0,6371   0,8310   0,6231   0,7814   0,7881   0,7073   0,6258   0,8348   0,7108   0,8182
   0,7880   0,6970   0,6277   0,8653   0,7039   0,7014   0,6878   0,8572   0,6619   0,8166   0,8033   0,6208   0,8043   0,7451   0,6591   0,7727   0,6136   0,6760   0,8967   0,6248   0,8387   0,7268   0,6585   0,6704   0,7111   0,6270   0,7419   0,8388   0,6764   0,8247
   0,6689   0,8934   0,6699   0,7322   0,6102   0,7099   0,6077   0,8759   0,7248   0,7794   0,8400   0,6702   0,6806   0,6577   0,6213   0,8991   0,7104   0,8120   0,6994   0,7658   0,6331   0,8087   0,6991   0,6534   0,7252   0,8384   0,6947   0,7325   0,8738   0,7823
   0,8072   0,8562   0,8652   0,8956   0,7470   0,8918   0,6780   0,8130   0,8388   0,6634   0,8429   0,7674   0,8133   0,8077   0,6119   0,6654   0,8373   0,7869   0,8450   0,7655   0,8722   0,8508   0,7689   0,6749   0,7034   0,7015   0,8992   0,6062   0,7731   0,8791
   0,8296   0,6202   0,7671   0,6667   0,8995   0,8257   0,7687   0,8006   0,8326   0,6124   0,7773   0,7644   0,8125   0,7557   0,6200   0,6563   0,7160   0,7555   0,6397   0,6298   0,6626   0,6530   0,6419   0,6359   0,6649   0,6124   0,6056   0,6253   0,8698   0,6536
   0,6313   0,6166   0,7759   0,7838   0,7928   0,7844   0,8871   0,6964   0,7934   0,6878   0,7240   0,8815   0,8913   0,8269   0,7620   0,8359   0,7599   0,6000   0,7922   0,8537   0,6843   0,7203   0,7183   0,8387   0,6632   0,6528   0,8996   0,6958   0,8879   0,7409
   0,8333   0,7346   0,8115   0,6092   0,6389   0,8532   0,8890   0,6579   0,8564   0,7667   0,7790   0,8009   0,7080   0,8979   0,8365   0,7445   0,8940   0,7600   0,6041   0,6632   0,7967   0,7381   0,6139   0,7894   0,7573   0,8038   0,8632   0,8125   0,7641   0,8919
   0,8982   0,8631   0,6470   0,7189   0,8597   0,7558   0,6178   0,8324   0,7847   0,7614   0,8222   0,6518   0,8474   0,8956   0,8786   0,7876   0,6310   0,8307   0,6777   0,7189   0,7786   0,7683   0,7938   0,7518   0,8512   0,6494   0,7258   0,6937   0,7440   0,8314
   0,6321   0,7410   0,6620   0,8164   0,8582   0,8072   0,8464   0,7859   0,8733   0,7003   0,8634   0,8744   0,6334   0,6074   0,7253   0,6998   0,7752   0,6444   0,7044   0,8677   0,8148   0,6960   0,8230   0,7694   0,6816   0,7904   0,8671   0,6110   0,6562   0,8395
   0,6605   0,7338   0,8044   0,6136   0,6693   0,7212   0,8088   0,6225   0,8640   0,6300   0,6913   0,6353   0,7693   0,8371   0,7960   0,7897   0,7592   0,7532   0,6649   0,6235   0,8226   0,7295   0,7818   0,7954   0,8249   0,8598   0,8936   0,8651   0,8241   0,7761
